pedido_id,dia,hub_origen,destino,ruta,asignados,pendientes,fitness
0000060,11,UBBB,OERK,"[com.morapack.ga.Vuelo@368102c8]",93,0,2.6535
0000057,11,EBCI,EHAM,"[com.morapack.ga.Vuelo@ea30797]",152,0,0.8832
0000064,12,UBBB,OJAI,"[com.morapack.ga.Vuelo@58d25a40]",151,5,2.6710
0000064,12,UBBB,OJAI,"[com.morapack.ga.Vuelo@6996db8]",5,0,1.0564
0000061,12,UBBB,OOMS,"[com.morapack.ga.Vuelo@1b701da1]",154,0,3.0982
0000063,12,UBBB,OMDB,"[com.morapack.ga.Vuelo@1963006a]",155,0,2.6955
0000065,12,EBCI,UMMS,"[com.morapack.ga.Vuelo@48533e64]",156,0,2.7141
0000062,12,UBBB,OYSN,"[com.morapack.ga.Vuelo@1c655221]",155,0,3.7466
0000069,13,SPIM,SBBR,"[com.morapack.ga.Vuelo@7fbe847c]",158,0,3.0817
0000066,13,SPIM,SVMI,"[com.morapack.ga.Vuelo@45fe3ee3]",157,0,3.5362
0000068,13,SPIM,SEQM,"[com.morapack.ga.Vuelo@593634ad]",53,105,2.2306
0000068,13,SPIM,SEQM,"[com.morapack.ga.Vuelo@41975e01]",105,0,2.2306
0000070,13,SPIM,SLLP,"[com.morapack.ga.Vuelo@759ebb3d]",159,0,2.1269
0000067,13,SPIM,SKBO,"[com.morapack.ga.Vuelo@c2e1f26]",157,0,1.7364
0000072,14,SPIM,SABE,"[com.morapack.ga.Vuelo@484b61fc]",158,2,4.2244
0000072,14,SPIM,SABE,"[com.morapack.ga.Vuelo@dcf3e99]",2,0,1.6963
0000074,14,SPIM,SUAA,"[com.morapack.ga.Vuelo@6d9c638]",161,0,2.1006
0000071,14,SPIM,SCEL,"[com.morapack.ga.Vuelo@442d9b6e, com.morapack.ga.Vuelo@7dc5e7b4]",159,0,3.0533
0000073,14,SPIM,SGAS,"[com.morapack.ga.Vuelo@1b9e1916]",41,119,3.6129
0000073,14,SPIM,SGAS,"[com.morapack.ga.Vuelo@1ee0005]",119,0,3.1067
0000075,14,EBCI,LATI,"[com.morapack.ga.Vuelo@2b05039f]",56,105,2.2465
0000075,14,EBCI,LATI,"[com.morapack.ga.Vuelo@75a1cd57]",105,0,2.0150
0000077,15,EBCI,LOWW,"[com.morapack.ga.Vuelo@3d012ddd]",162,0,1.1346
0000079,15,EBCI,LDZA,"[com.morapack.ga.Vuelo@726f3b58]",163,0,1.7103
0000076,15,EBCI,EDDI,"[com.morapack.ga.Vuelo@442d9b6e]",51,111,1.3455
0000076,15,EBCI,EDDI,"[com.morapack.ga.Vuelo@6f2b958e]",111,0,1.2041
0000078,15,EBCI,LKPR,"[com.morapack.ga.Vuelo@4c98385c]",31,132,1.3858
0000078,15,EBCI,LKPR,"[com.morapack.ga.Vuelo@1eb44e46]",132,0,1.3858
0000080,15,EBCI,EKCH,"[com.morapack.ga.Vuelo@15615099]",164,0,1.4763
0000082,16,UBBB,VIDP,"[com.morapack.ga.Vuelo@6504e3b2, com.morapack.ga.Vuelo@515f550a]",165,0,3.2913
0000084,16,UBBB,OERK,"[com.morapack.ga.Vuelo@626b2d4a]",166,0,1.5730
0000081,16,EBCI,EHAM,"[com.morapack.ga.Vuelo@ea30797]",113,51,0.8832
0000081,16,EBCI,EHAM,"[com.morapack.ga.Vuelo@5e91993f]",51,0,1.0599
0000083,16,UBBB,OSDI,"[com.morapack.ga.Vuelo@4dcbadb4]",70,95,2.3216
0000083,16,UBBB,OSDI,"[com.morapack.ga.Vuelo@1c4af82c]",95,0,2.3216
0000085,16,UBBB,OOMS,"[com.morapack.ga.Vuelo@379619aa]",166,0,1.2095
0000089,17,EBCI,UMMS,"[com.morapack.ga.Vuelo@73c6c3b2]",168,0,2.0687
0000086,17,UBBB,OYSN,"[com.morapack.ga.Vuelo@1c655221]",57,110,3.7466
