gen,best,avg,worst,feasible,mutationRate,diversityIndex,p95Transit,p95Wait,p95Cost,maxHopsRef
1,0.8832253849650318,20.338370268083107,66.84199820738162,1.0,0.06,0.5246181491464238,1315.75,1368.0,1035.2375000000002,8
2,0.8832253849650318,9.31802491145818,52.739348592819105,1.0,0.06,0.3903459119496911,1315.75,1368.0,1035.2375000000002,8
3,0.8832253849650318,3.0389440881096785,35.441576655553945,1.0,0.06,0.1527319182389937,1315.75,1368.0,1035.2375000000002,8
4,0.8832253849650318,0.917495875810987,6.36650392031781,1.0,0.06,0.0125,1315.75,1368.0,1035.2375000000002,8
5,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.06,0.0,1315.75,1368.0,1035.2375000000002,8
6,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.06,0.0,1315.75,1368.0,1035.2375000000002,8
7,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.06,0.0,1315.75,1368.0,1035.2375000000002,8
8,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.06,0.0,1315.75,1368.0,1035.2375000000002,8
9,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.06,0.0,1315.75,1368.0,1035.2375000000002,8
10,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.06,0.0,1315.75,1368.0,1035.2375000000002,8
11,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
12,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
13,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
14,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
15,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
16,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
17,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
18,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
19,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
20,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
21,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.135,0.0,1315.75,1368.0,1035.2375000000002,8
22,0.8832253849650318,0.8832253849650316,0.8832253849650318,1.0,0.135,0.0,1315.75,1368.0,1035.2375000000002,8
